player,player_id,FGM/A*,FG%,FTM/A*,FT%,3PTM,3PTA*,3PT%,PTS,REB,AST,ST,BLK,TO,PF,DD
我是冠軍,454.l.130312.t.1,155/324,.478,66/82,.805,49,127,.386,425,163,94,26,12,50,46,3
Rob Pelinka,454.l.130312.t.2,192/404,.475,120/146,.822,68,162,.420,572,169,107,37,16,82,64,6
彥廷's Groovy Team,454.l.130312.t.3,122/260,.469,42/54,.778,38,110,.345,324,122,73,24,7,39,42,4
敢不敢不要比命中率,454.l.130312.t.5,176/348,.506,88/112,.786,38,102,.373,478,151,115,21,19,65,56,6
衛冕軍準備一輪遊,454.l.130312.t.4,190/363,.523,86/107,.804,71,176,.403,537,163,102,31,20,74,64,7
Rickybelegend,454.l.130312.t.6,174/343,.507,63/81,.778,54,132,.409,465,156,93,28,12,50,50,5
INJURIES Team,454.l.130312.t.7,144/300,.480,65/79,.823,45,125,.360,398,165,85,30,19,58,61,5
幫你煎,454.l.130312.t.12,141/311,.453,62/83,.747,51,138,.370,395,139,114,44,17,61,66,5
安俞真我寶貝,454.l.130312.t.8,132/298,.443,54/68,.794,48,127,.378,366,95,93,29,21,53,34,2
ㄘㄨㄚˋ陰魂,454.l.130312.t.11,159/354,.449,61/76,.803,47,138,.341,426,137,99,38,13,49,41,2
太陽神,454.l.130312.t.9,117/275,.425,49/72,.681,33,102,.324,316,207,122,22,29,48,39,7
安叮叮康阿吉,454.l.130312.t.10,92/189,.487,38/50,.760,27,79,.342,249,114,67,24,16,31,41,4
